company_name,title,education,career,deadline,skill
한국이콜랩(유),2024년 하반기 상시채용 모집,대학교(4년)↑,경력무관 · 정규직,,"데이터분석가,백엔드/서버개발,앱개발,웹개발,API"
한화호텔앤드리조트(주),[외국계 화학] 각 부문 신입/경력 채용,"대학(2,3년)↑",신입 · 경력 · 정규직,2024.12.28,"SE(시스템엔지니어),음성인식,임베디드,정보통신,펌웨어"
(주)인피닉,[한화H&R/에스테이트] 웹 개발 담당자 주니어급 경력직 채용,"대학(2,3년)↑",5 ~ 9년 · 계약직 외,2024.12.13,"API,CSS,HTML,Javascript,React"
(주)제이에스티,[인피닉] 영업 담당자 모집,학력무관,경력무관 · 정규직,2024.12.08,"임베디드,자율주행,클라우드,H/W,아키텍쳐"
(주)지아이티,[외국계 화학] 각 부문 신입/경력 채용,"대학(2,3년)↑",신입 · 경력 · 정규직 외,2024.12.31,"백엔드/서버개발,네트워크,방화벽,DLP,UTM"
(주)맨파워그룹코리아,[한화H&R/에스테이트] 웹 개발 담당자 주니어급 경력직 채용,"대학(2,3년)↑",신입 · 경력 · 정규직,2024.12.17,"펌웨어,C#,C++,C언어,CSS"
신성통상(주),[인피닉] 영업 담당자 모집,학력무관,신입 · 경력 · 정규직 외,2024.12.28,"기술지원,백엔드/서버개발,웹마스터,유지보수,정보보안"
(주)맨파워그룹코리아,2024년 하반기 각 부문별 직원채용,학력무관,신입 · 경력 · 정규직,2024.12.21,"기술지원,영업관리,영업지원,거래처관리,유지보수"
(주)칼리버스,현대자동차그룹 (주)지아이티 연구소/사업실 대규모 수시채용,학력무관,경력 · 정규직,2024.12.12,"게임개발,Windows,Linux,스크립트"
(주)글로벌모터서비스,[신용산] 글로벌 의약품 유통 기업 IT 헬프데스크(9M),학력무관,3 ~ 15년 · 정규직,2024.01.02,"S/W,C++,C언어,로봇엔지니어,로봇설계"
(주)인지이솔루션,신성통상(주) WEB FRONT 개발자 경력채용(DP프론트개발팀),대학교(4년)↑,경력무관 · 정규직,,"데이터분석가,백엔드/서버개발,앱개발,웹개발,API"
(주)래딕스,[봉은사역] 글로벌 탑티어 컨설팅펌 Technical Assistant 채용,"대학(2,3년)↑",신입 · 경력 · 정규직,2024.12.28,"SE(시스템엔지니어),음성인식,임베디드,정보통신,펌웨어"
(주)리더마인,[칼리버스] 2024년 Modeling(Asset) 경력 인재 영입,"대학(2,3년)↑",5 ~ 9년 · 계약직 외,2024.12.13,"API,CSS,HTML,Javascript,React"
(주)건담앤컴퍼니,[영어필수 / 신입] Test Engineer 모집,학력무관,경력무관 · 정규직,2024.12.08,"임베디드,자율주행,클라우드,H/W,아키텍쳐"
(주)데이터쿡,[대전]리튬팩 전문기업 경력사원 모집 (H/W),고졸↑,신입 · 경력 · 정규직 외,2024.12.15,"백엔드/서버개발,보안컨설팅,유지보수,정보보안,네트워크"
데상트코리아(주),PC 제어 프로그래머(FA) 채용공고 경력 채용,대학교(4년)↑,경력 3년↑ · 계약직,2024.01.12,"백엔드/서버개발,웹개발,유지보수,Java,JSP"
동아화성(주),웹에이전시 프론트개발 팀장 채용,학력무관,경력 5년↑ · 정규직,2024.12.08,"AI(인공지능),영업직,영업MD,영업마케팅,영업전략"
(주)유아이에스,[정보보안] 공공기관 운영 및 유지관리 사업 상주 PM,고졸↑,신입 · 경력 · 정규직 외,2024.01.10,"컴퓨터비전,공정엔지니어,설계엔지니어,공정설계,기구설계"
