company_name,title,education,career,deadline,skill
(주)에이젝코리아,각 분야 채용,"대학(2,3년)↑",2 ~ 3년 · 정규직 외,2024.12.13,"기술지원,백엔드/서버개발,보안컨설팅,유지보수,정보보안"
(주)세스코,하반기 정규직 인원 大 모집 (사세 확장),"대학(2,3년)↑",경력 · 정규직,2024.12.30,"SE(시스템엔지니어),네트워크,방화벽,ERP,4대보험"
(주)웰데이타시스템,각 분야 채용,대학교(4년)↑,경력 3년↑ · 정규직,2024.12.17,"백엔드/서버개발,프론트엔드,Git,Java,JSP"
(주)맨파워그룹코리아,[여의도/중견기업] 유지보수/헬프데스크,"대학(2,3년)↑",2 ~ 3년 · 정규직 외,2024.12.13,"기술지원,백엔드/서버개발,보안컨설팅,유지보수,정보보안"
(주)맨파워그룹코리아,(주)세스코 개인정보보호 담당,고졸↑,신입 · 경력 · 정규직 외,2024.12.17,"유지보수,사무직,총무,문서작성,비품관리"
(주)웰데이타시스템,"[AWS, KT, Naver 클라우드 매니지드/ 기술운영/ TA, AA] 채용",대학교(4년)↑,경력 3년↑ · 정규직,2024.12.18,"기술지원,백엔드/서버개발,보안컨설팅,정보보안,DBA"
(주)웰데이타시스템,[잠실/재택병행] 우아한형제들 네트워크 보안 운영 담당 채용,고졸↑,신입 · 정규직,2024.12.20,"기술지원,H/W,복합기,유지보수"
(주)웰데이타시스템,[여의도] 일본계 전자디바이스 수입기업 기술지원 채용,대학교(4년)↑,경력무관 · 정규직,2024.12.15,"보안컨설팅,정보통신,취약점진단,법정의무교육,정보보호교육"
주식회사드림캐쳐스,클라우드 컨설팅/ 기술영업/  공공영업/제안/수행 채용,고졸↑,경력무관 · 정규직 외,2024.01.06,"백엔드/서버개발,정보보안,SE(시스템엔지니어),네트워크,IDC"
(주)웰데이타시스템,"야간당직 기술운영 [AWS, Aznure, KT, Naver 클라우드 매니지드]",학력무관,경력(년수무관) · 계약직 외,2024.12.30,"정보보안,ICT컨설팅,네트워크,솔루션,트러블슈팅"
(주)제이비케이랩,"[Azure, AKS,  클라우드 매니지드/ 기술운영/ TA, AA] 채용","대학(2,3년)↑",경력무관 · 계약직 외,2024.12.20,"기술지원,데이터분석가,데이터엔지니어,데이터라벨링,데이터마이닝"
셀렉트스타(주),경기도 공공배달 플랫폼 가맹점 운영 관리지원 (사무직),"대학(2,3년)↑",경력무관 · 정규직 외,2024.01.06,"IT컨설팅,AWS,네트워크영업,솔루션기술영업,시스템영업"
베스핀글로벌(주),"영업관리, 지원/ 사업관리, 지원/  공공사업 관리,지원/  채용",고졸↑,경력무관 · 정규직 외,2024.01.06,"백엔드/서버개발,정보보안,SE(시스템엔지니어),네트워크,IDC"
